Time    Ener
80      0.70
921     3.39
2281    0.91
5831    1.81
6095    0.88
7703    1.27
8205    1.10
8761    1.17
11010   9.61
11095   1.42
14201   1.01
22531   1.37
24843   0.97
25230   1.15
26825   1.00
29077   1.11
32363   3.02
33154   1.88
34269   2.22
36053   0.97
36575   1.52
37794   0.96
37957   1.17
38695   0.75
39144   0.96
44035   1.17
47217   5.14
47411   1.84
52374   1.05
55280   5.20
56128   0.88
56395   2.83
57130   1.31
62856   1.30
64165   0.86
65488   2.69
68183   0.90
69772   0.98
70774   4.20
73450   1.07
74638   2.86
76742   0.86
78884   1.79
80587   3.91
82983   0.98
83319   1.26
85276   1.42
87246   1.53
90748   1.58
90826   1.26
92519   1.09
95783   1.98
96248   1.84
100557  1.49
101544  1.10
101601  1.07
102069  1.23
102217  6.30
102543  1.45
102700  1.31
102914  0.94
103068  1.46
109120  1.82
109447  1.65
109771  2.13
109987  0.75
110236  1.76
110716  0.81
113829  0.79
114177  1.06
114834  2.56
115076  1.49
115761  0.99
115958  2.51
116207  0.76
116376  1.34
116521  1.38
116951  2.68
117353  1.92
117620  1.04
117730  1.57
118248  1.58
118421  0.47
119856  1.34
120387  2.29
120752  4.38
121738  3.79
121948  1.48
122046  1.87
122137  4.12
122561  1.72
123239  0.91
123406  1.98
123447  1.03
124169  1.40
124493  1.17
124502  1.07
124791  1.25
124986  1.27
125771  1.37
126063  0.98
126365  1.25
126581  0.89
126647  2.02
127059  1.61
127492  1.03
127605  0.99
127722  1.06
128246  1.61
128658  1.05
129886  1.68
130442  1.21
130630  1.16
130900  1.77
134908  1.68
135376  1.92
135609  0.87
136146  5.26
136749  1.32
142151  1.06
144488  1.01
145833  1.05
148543  1.21
150199  0.71
152463  1.46
152507  2.07
152617  0.87
152765  0.90
155780  1.86
157702  2.49
158089  1.32
158921  1.29
159019  1.04
161117  1.06
161277  1.48
161346  1.38
162436  0.94
166067  1.01
167531  1.50
169035  0.78
169145  1.67
171507  1.91
172343  1.91
176536  4.14
181304  2.96
181386  1.04
183481  0.84
183738  0.99
184809  1.03
186992  0.85
187335  1.25
187705  1.41
187834  1.11
188051  6.79
188111  1.28
189954  1.74
190664  1.39
190677  2.07
190937  3.73
191201  1.40
192087  2.05
192385  0.84
193098  2.73
195259  1.98
198554  1.47
198680  1.21
200791  2.10
201727  1.28
203866  0.73
204346  1.36
204946  1.64
205443  1.23
206061  1.13
206708  1.38
207456  1.70
209573  0.96
211382  1.13
213151  1.39
217856  1.05
221468  8.91
223648  0.82
224424  0.86
224785  1.51
225975  1.08
225982  1.83
228507  1.35
229553  0.71
229641  0.90
230957  0.94
231814  1.03
232810  0.99
233727  0.98
237204  1.95
237405  3.13
237660  2.50
238652  2.03
241055  1.30
241172  3.52
242419  1.28
242657  1.68
244316  1.44
250211  1.41
250651  0.86
255366  1.61
257338  1.01
257527  0.95
258023  1.17
258114  0.86
258334  1.06
259248  1.28
259622  1.56
265725  1.35
265756  1.69
